Absorb	Grass	20	20	100%	Restores the user's HP by 1/2 of the damage inflicted on the target.
Acid	Poison	30	40	100%	Has a ~10% chance to lower the target's Defense by 1 stage.
Acid Armor	Poison	40	N/A	N/A	Raises the user's Defense by 2 stages.
Aeroblast	Flying	5	100	95%	Has a high critical hit ratio.
Agility	Psychic	30	N/A	N/A	Raises the user's Speed by 2 stages.
Amnesia	Psychic	20	N/A	N/A	Raises the user's Special Defense by 2 stages.
Ancientpower	Rock	5	60	100%	Has a ~10% chance to raise all of the user's stats by 1 stage.
Attract	Normal	15	N/A	100%	Infatuates Pokemon of the opposite gender, even if they have a Substitute, causing a 50% chance for the target's attack to fail.
Aurora Beam	Ice	20	65	100%	Has a ~10% chance to lower the target's Attack by 1 stage.
Barrage	Normal	20	15	85%	Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.
Barrier	Psychic	30	N/A	N/A	Raises the user's Defense by 2 stages.
Baton Pass	Normal	40	N/A	N/A	The user returns to its party, bypassing any trapping moves and Pursuit; it passes all stat modifiers (positive or negative), as well as confusion, Focus Energy, Perish Song count, Mist, Leech Seed, Ghost Curses, Mind Reader, Lock-On, Mean Look, Spider Web and Substitute to the replacement Pokemon. In-game, Baton Pass also passes partial trapping moves (Bind, Clamp, Fire Spin and Wrap), Foresight, Toxic if the replacement is poisoned and Nightmare if replacement is asleep.
Beat Up	Dark	10	10	100%	Each healthy (i.e. not fainted nor inflicted with a status condition) Pokemon in your party contributes a typeless 10 base power hit determined solely by their base Attack and Defense stats.
Belly Drum	Normal	10	N/A	N/A	The user maximizes its Attack but sacrifices 50% of its max HP.
Bide	Normal	10	Var Dmg	100%	The user absorbs all damage for 2-3 turns and then inflicts twice the absorbed damage on its target. This move ignores the target's type but still cannot hit Ghost-type Pokemon.
Bind	Normal	20	15	75%	Traps the target for 2-5 turns, causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it uses Baton Pass.
Bite	Dark	25	60	100%	Has a ~30% chance to make the target flinch.
Blizzard	Ice	5	120	70%	Has a ~10% chance to freeze the target.
Body Slam	Normal	15	85	100%	Has a ~30% chance to paralyze the target.
Bone Club	Ground	20	65	85%	Has a ~10% chance to make the target flinch.
Bone Rush	Ground	10	25	80%	Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.
Bonemerang	Ground	10	50	90%	Strikes twice; if the first hit breaks the target's Substitute, the real Pokemon will take damage from the second hit.
Bubble	Water	30	20	100%	Has a ~10% chance to lower the target's Speed by 1 stage.
Bubblebeam	Water	20	65	100%	Has a ~10% chance to lower the target's Speed by 1 stage.
Charm	Normal	20	N/A	100%	Lowers the target's Attack by 2 stages.
Clamp	Water	10	35	75%	Traps the target for 2-5 turns, causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it uses Baton Pass.
